Solution,Cost (€/m²),Yield (kg/m²),Water (L/m²),Carbon (kg CO₂e/m²),Constraint Violation
0,0.810073463129735,0.2719076426214974,1.0499999999999805,6.229555895815033,316.49150885861894
1,0.6099275191944387,0.0,1.0499999999999805,4.11517362348055,1278.7578198631309
2,0.6091345558335918,0.0,1.0499999999999805,4.109823509238692,1281.4402338157056
3,1.0573612215307193,1.1538461403020854,1.0499999999999805,7.89232716861378,0.0
4,1.0516493823662774,1.1538460632347687,1.0499999999999805,7.854201013040586,0.0
5,0.6301158534025165,0.02303543569734981,1.0499999999999805,4.251384071149509,978.083060915753
6,0.9511358771461067,1.153845969251515,1.0499999999999805,7.181971864503769,0.0
7,0.7716679522566666,0.1676661679474309,1.0499999999999805,5.206434376671486,453.50833333334316
8,0.770152428194764,0.15879485437673685,1.0499999999999805,5.960209154085108,413.70108318603474
9,0.8522663015061873,0.9205492691292284,1.0499999999999805,6.514230467993506,5.2678563300012735
10,0.8296094898716242,0.32750894104777156,1.0499999999999805,6.361365232868743,260.94419852771784
11,0.8296577340303892,0.5724554207355029,1.0499999999999805,6.361690735626675,0.0
12,0.8295307317690697,0.3041311635943331,1.0499999999999805,6.3608338528997,253.27750318486318
13,0.6992314251332595,0.11909819475156695,1.0499999999999805,4.7177060008991,474.5147850108149
14,0.6991303843066563,0.057630698701966604,1.0499999999999805,4.717024279659368,709.8564974845924
15,0.6247995719835905,0.017890331892251993,1.0499999999999805,4.215458281801922,1028.1935090634036
16,0.8371528313625154,0.6951389547544902,1.0499999999999805,6.412260067024153,0.0
17,0.8386402110020135,0.8537577153853106,1.0499999999999805,6.42229539953161,0.0
18,0.624740481223154,0.00033192969418256827,1.0499999999999805,4.21511649981887,1225.0338807742012
19,0.7321273261059509,0.135661494294747,1.0499999999999805,4.939654248425693,455.94498386588276
20,0.6730372867190709,0.03869986064310769,1.0499999999999805,4.540974464610599,868.353015688033
21,0.8311154670669312,0.6201236438266755,1.0499999999999805,6.371526042861174,0.0
22,0.673886036903505,0.04331285812275068,1.0499999999999805,4.54670097187907,790.9621780345262
23,0.7122087808947503,0.129948293524974,1.0499999999999805,4.8052640638681945,460.15791898837193
24,0.9276242098678049,1.1343389822780674,1.0499999999999805,7.021562015029584,0.0
25,0.6647759427880827,0.03539440685563807,1.0499999999999805,4.485235276642486,889.7647282141004
26,0.7003014204257872,0.11848880350854926,1.0499999999999805,4.724925246246276,462.9760761414679
27,0.7540665507375661,0.15321694826653104,1.0499999999999805,5.0876779326871935,453.851272367492
28,0.8336850879135522,0.6693764599231983,1.0499999999999805,6.388863243754041,0.0
29,0.7630436610148624,0.16315880728407503,1.0499999999999805,5.148246387570157,453.50833333334316
30,0.8707641322492088,1.0114018109445804,1.0499999999999805,6.639031852735752,0.0
31,0.935158715556798,1.1429509501528239,1.0499999999999805,7.078324444348748,0.0
32,0.7118015030098341,0.12959359375782498,1.0499999999999805,4.8025161648856285,460.15791898837193
33,0.7402164795703701,0.14622615935360792,1.0499999999999805,4.994231669390448,454.54513457718343
34,0.7004060954189112,0.12038275318121829,1.0499999999999805,4.725631487163738,462.9680945228885
35,0.6253061105596738,0.018972432210478802,1.0499999999999805,4.218874106313097,1014.7652993716681
36,0.6860144564983598,0.05124668088411465,1.0499999999999805,4.628531272760018,757.5035485940645
37,0.861290340806931,0.9667925742871519,1.0499999999999805,6.578950893797719,0.0
38,0.622054332088037,0.00033315971575831473,1.0499999999999805,4.196993083967478,1233.2848879939156
39,0.8067828117480809,0.2708010714579069,1.0499999999999805,6.207353910589413,324.19156344263604
40,0.8787260461434128,1.0364612030560643,1.0499999999999805,6.692428887798243,0.0
41,0.7977734615780383,0.23178081231258335,1.0499999999999805,6.146567933538525,343.4860477477182
42,0.6991188880414203,0.06181415748498394,1.0499999999999805,4.71694671449633,713.7354930641527
43,0.8994983923726791,1.1026612844058623,1.0499999999999805,6.832789487004972,0.0
44,0.9159462686735984,1.132341222770282,1.0499999999999805,6.9432289331549795,0.0
45,0.6297106389308147,0.02209711212420422,1.0499999999999805,4.248650093991039,984.6246402699636
46,0.8491291701993988,0.9099880417356496,1.0499999999999805,6.493064280863367,0.0
47,0.6588013518463441,0.03035754279754937,1.0499999999999805,4.444924783541599,912.7510844991125
48,0.8574189789713496,0.9562820129070103,1.0499999999999805,6.548905028712259,0.0
49,0.8985192497784975,1.0895579809509583,1.0499999999999805,6.826298552722346,0.0
