,Heat_cons,ElecHigh,ElecLow,Tair,CO2air,Tot_PAR,VentLee,PipeLow
Heat_cons,1.0,0.6763081775143185,0.5826775315385909,0.06857126404441276,-0.07789398158773599,-0.44787820233408493,-0.6855302447976843,0.9459514026644732
ElecHigh,0.6763081775143185,1.0,0.8003477275265656,-0.208168601636105,-0.23475661110681365,-0.5932932300867129,-0.591605598803175,0.6851863423700335
ElecLow,0.5826775315385909,0.8003477275265656,1.0,-0.04355640876208015,0.1290956977540702,-0.22675614277095799,-0.4971683428478619,0.7277514974973411
Tair,0.06857126404441276,-0.208168601636105,-0.04355640876208015,1.0,0.07394623851796704,0.5872295238705669,0.25960682599286855,0.17886213270641857
CO2air,-0.07789398158773599,-0.23475661110681365,0.1290956977540702,0.07394623851796704,1.0,0.3272148126196644,-0.12752844517711548,0.09677834970109783
Tot_PAR,-0.44787820233408493,-0.5932932300867129,-0.22675614277095799,0.5872295238705669,0.3272148126196644,1.0,0.5731700798489688,-0.3179872745376053
VentLee,-0.6855302447976843,-0.591605598803175,-0.4971683428478619,0.25960682599286855,-0.12752844517711548,0.5731700798489688,1.0,-0.6779773583359106
PipeLow,0.9459514026644732,0.6851863423700335,0.7277514974973411,0.17886213270641857,0.09677834970109783,-0.3179872745376053,-0.6779773583359106,1.0
