scenario,num_greenhouses,greenhouse_size_m2,annual_energy_saved_kWh,annual_carbon_saved_tons,annual_cost_savings_eur,water_datacenter_m3,water_irrigation_m3,water_total_m3,people_food_security,cars_equivalent,health_deaths_avoided,people_protected_total,implementation_cost_eur,payback_period_years
low,10,1000,112000,24.6,15400,201.6,18250.0,18451.6,2500.0,5.347826086956522,0.24600000000000002,2500.246,5000,0.32
medium,100,1000,1120000,246.4,154000,2016.0,182500.0,184516.0,25000.0,53.56521739130435,2.464,25002.464,50000,0.32
high,1000,1000,11200000,2464.0,1540000,20160.0,1825000.0,1845160.0,250000.0,535.6521739130435,24.64,250024.64,500000,0.32
low_large,10,10000,1120000,246.4,154000,2016.0,182500.0,184516.0,25000.0,53.56521739130435,2.464,25002.464,50000,0.32
medium_large,100,10000,11200000,2464.0,1540000,20160.0,1825000.0,1845160.0,250000.0,535.6521739130435,24.64,250024.64,500000,0.32
high_large,1000,10000,112000000,24640.0,15400000,201600.0,18250000.0,18451600.0,2500000.0,5356.521739130435,246.4,2500246.4,5000000,0.32
